PCODE,centrallon,centrallat
MX08050,-107.72906,30.53285
MX08051,-108.20480,28.15363
MX08052,-104.52537,29.36359
MX08053,-105.92594,31.23809
MX08054,-106.61705,28.80630
MX08055,-105.74782,28.20505
MX08056,-106.31469,27.26890
MX08057,-106.73519,27.89250
MX08058,-105.36226,27.58213
MX08059,-105.94624,26.88525
MX08060,-105.78292,26.80392
MX08061,-106.19309,27.77862
MX08062,-105.34303,28.00109
MX08063,-108.08483,28.71477
MX08064,-106.29744,27.04510
MX08065,-107.97641,27.22630
MX08066,-108.50656,27.86164
MX08067,-105.80833,27.48705
MX05001,-101.24578,27.12239
MX05002,-102.01015,29.43246
MX05003,-100.91600,28.27835
MX05004,-100.64237,25.34136
MX05005,-100.79925,26.85245
MX05006,-101.38693,26.58624
MX05007,-102.29898,26.69910
MX05008,-101.27959,27.30607
MX05009,-103.18086,26.32015
MX05010,-101.52827,26.94770
MX05011,-101.55104,25.52169
MX05012,-100.39382,28.09737
MX05013,-100.05057,27.83927
MX05014,-100.95130,29.00268
MX05015,-100.69338,27.65655
MX05016,-101.91372,27.15055
MX05017,-103.21506,25.55982
MX05018,-101.19439,26.89686
MX05019,-101.08335,28.32775
MX05020,-101.90047,28.40302
MX05021,-101.76543,27.22773
MX05022,-100.62049,28.49644
MX05023,-102.89288,27.96554
MX05024,-102.11467,25.50387
MX05025,-100.61450,28.77983
MX05026,-101.02148,27.42142
MX05027,-101.28207,25.91375
MX05028,-101.14300,27.92287
MX05029,-101.75649,26.93983
MX05030,-101.12511,25.02915
MX05031,-101.96888,27.84013
MX05032,-101.38976,28.06396
MX05033,-102.71800,26.08404
MX05034,-103.61011,27.48177
MX05035,-103.24892,25.17008
MX05036,-102.92497,25.22187
MX05037,-100.78031,28.09739
MX05038,-101.39501,28.81197
MX06001,-103.99848,19.00936
MX06002,-103.63267,19.11610
MX06003,-103.76999,19.39344
MX06004,-103.92075,19.18813
MX06005,-103.59550,19.32684
MX06006,-103.68135,18.96761
MX06007,-104.29581,19.14948
MX06008,-104.03106,19.37209
MX06009,-104.92731,18.86730
MX06010,-103.84443,19.30960
MX09002,-99.18211,19.48533
MX09003,-99.15038,19.32667
MX09004,-99.31073,19.32463
MX09005,-99.11586,19.50407
MX09006,-99.09433,19.39691
MX09007,-99.05680,19.34916
MX09008,-99.26841,19.26898
MX09009,-99.05110,19.13946
MX09010,-99.24682,19.33618
MX09011,-99.00282,19.27699
MX09012,-99.20622,19.19834
MX09013,-99.09036,19.24515
MX09014,-99.16113,19.38064
MX09015,-99.14906,19.43137
MX09016,-99.20457,19.42806
MX09017,-99.09311,19.43050
MX10001,-104.93589,24.51112
MX10002,-106.45111,25.07272
MX10003,-104.78374,25.03398
MX10004,-103.70029,24.69481
MX10005,-104.84370,23.97048
MX10006,-103.21208,24.76151
MX10007,-103.49063,25.72798
MX10008,-104.07328,24.41267
MX10009,-106.06722,25.99632
MX10010,-104.81708,26.09034
MX10011,-104.99554,25.72623
MX10012,-103.68583,25.47765
MX10013,-104.13133,26.14600
MX10014,-104.55069,23.00211
MX10015,-104.07769,25.24710
MX10016,-104.21111,23.81386
MX10017,-105.67669,26.48187
MX10018,-105.21585,25.54902
MX10019,-105.93643,24.70145
MX10020,-104.35404,24.49486
MX10021,-104.08232,24.78599
MX10022,-104.02195,24.00356
MX10023,-105.31427,23.41144
MX10024,-104.56162,25.19530
MX10025,-105.67245,26.18411
MX10026,-105.74228,24.22849
MX10027,-102.71804,24.64753
MX10028,-104.47040,24.80735
MX10029,-104.30649,25.37610
MX10030,-104.39825,25.62190
MX10031,-103.41378,24.49776
MX10032,-105.69042,24.98416
MX10033,-104.14963,23.43688
MX10034,-106.71199,24.94676
MX10035,-106.06163,25.45024
MX10036,-103.62548,26.34496
MX10037,-106.58974,25.25676
MX10038,-103.95105,23.73334
MX10039,-105.03803,24.84669
MX11001,-101.53601,20.53323
MX11002,-100.75197,20.05247
MX11003,-100.73773,20.92525
MX11004,-100.57352,20.42184
MX11005,-100.62174,20.57551
MX11006,-99.80444,21.26520
MX11007,-100.78786,20.53757
MX11008,-101.87978,20.71295
MX11009,-100.79112,20.74127
MX11010,-100.38360,20.21700
MX11011,-100.93837,20.42911
MX11012,-101.66801,20.61523
MX11013,-100.35963,21.14160
MX11014,-100.93478,21.14702
MX11015,-101.23733,21.01845
MX11016,-101.49900,20.36737
MX11017,-101.36832,20.69981
MX11018,-101.05209,20.35880
MX11019,-100.50788,20.19711
MX11020,-101.62240,21.12475
MX11021,-101.24469,20.08432
MX11022,-101.47300,21.57957
MX11023,-101.81585,20.40162
MX11024,-101.36126,20.54993
MX11025,-101.92856,20.92752
MX11026,-101.59513,20.82579
MX11027,-101.16510,20.62511
MX11028,-100.91513,20.20756
MX11029,-100.84641,21.44217
MX11030,-101.23370,21.50320
MX11031,-101.78852,20.91912
MX11032,-100.38859,21.00232
MX11033,-100.47625,21.39937
MX11034,-100.07190,21.15068
MX11035,-100.99408,20.67410
MX11036,-100.99036,20.15823
MX11037,-101.43778,20.96312
MX11038,-100.52891,20.00448
MX11039,-100.74150,20.29674
MX11040,-100.15601,21.03229
MX11041,-101.15262,20.11969
MX11042,-101.27056,20.37833
MX11043,-100.21461,21.36596
MX11044,-100.99251,20.54196
MX11045,-99.97852,21.35676
MX11046,-101.22553,20.18315
MX12001,-99.71453,16.95754
MX12002,-98.95137,17.75227
MX12003,-100.60773,17.91902
MX12004,-98.36611,17.37590
MX12005,-98.51057,17.64224
MX12006,-99.98090,18.09123
MX12007,-100.19879,18.25262
MX12008,-99.06996,18.14438
MX12009,-98.58269,17.27024
MX12010,-98.90305,17.51434
MX12011,-100.34207,17.33282
MX12012,-99.06754,16.95727
MX12013,-98.57268,16.68426
MX12014,-100.42712,17.09654
MX12015,-99.42073,18.46157
MX12016,-101.64944,18.28303
MX12017,-99.71366,18.13230
MX12018,-98.93064,16.60809
MX12019,-99.05204,17.98214
MX12020,-98.70190,17.43262
MX12021,-100.05897,17.14255
MX12022,-100.92991,18.08179
MX12023,-98.51774,16.46165
MX12024,-98.67126,17.73829
MX12025,-98.96371,16.71854
MX12026,-99.81470,18.12476
MX12027,-100.61792,18.65981
MX12028,-99.11236,17.52369
MX12029,-99.69745,17.39083
MX12030,-99.13964,16.70269
MX12031,-100.10417,18.44113
MX12032,-100.02694,17.73380
MX12033,-98.54709,17.81216
MX12034,-99.25342,18.22977
MX12035,-99.58212,18.22681
MX12036,-98.49328,16.80174
MX12037,-99.76559,18.46345
MX12038,-101.43400,17.82026
MX12039,-99.47293,17.14213
MX12040,-99.79579,17.63194
MX12041,-98.70461,17.14606
MX12042,-99.35757,17.83250
MX12043,-98.43975,17.13403
MX12044,-99.37060,17.33684
MX12045,-98.78389,17.89656
MX12046,-98.35235,16.66187
MX12047,-99.86922,18.54466
MX12048,-101.15976,17.62032
MX12049,-99.60783,18.70423
MX12050,-100.61147,18.34562
MX12051,-99.18522,17.31282
MX12052,-98.75108,16.87636
MX12053,-99.40870,16.80888
MX12054,-100.31825,17.83981
MX12055,-99.59744,18.52004
MX12056,-99.29489,16.98045
MX12057,-100.74436,17.40595
MX12058,-99.91407,18.35826
MX12059,-99.46939,18.10100
MX12060,-99.67176,18.64884
MX12061,-99.36747,17.59935
MX12062,-98.27713,16.93906
MX12063,-98.78615,17.23001
MX12064,-100.43503,18.42802
MX12065,-98.40920,17.57165
MX12066,-98.61554,17.56217
MX12067,-100.45333,18.28029
MX12068,-101.85475,18.01682
MX12069,-98.54149,17.42981
MX12070,-98.50930,17.90451
MX12071,-98.15727,16.86943
MX12072,-98.82952,17.32455
MX12073,-101.21823,18.34493
MX12074,-99.18511,17.74958
MX12075,-99.60977,17.80149
MX12076,-98.97603,17.17482
MX12077,-98.74543,16.64040
MX12078,-98.42387,17.10057
MX12079,-98.99594,17.44263
MX12080,-98.67807,16.59457
MX12081,-98.63788,17.04710
MX13001,-98.44035,20.20642
MX13002,-98.19840,20.15985
MX13003,-98.88969,20.31455
MX13004,-98.36938,20.36157
MX13005,-99.07803,20.11983
MX13006,-99.40540,20.40709
MX13007,-98.32707,19.74162
MX13008,-98.44700,19.72290
MX13009,-98.88258,20.21715
MX13010,-99.22137,20.05475
MX13011,-98.36355,21.02731
MX13012,-98.67649,20.35484
MX13013,-99.23138,19.97345
MX13014,-98.54849,20.90606
MX13015,-99.06020,20.59917
MX13016,-98.28167,19.98431
MX13017,-99.47165,20.26369
MX13018,-98.94967,21.12844
MX13019,-99.25513,20.32432
MX13020,-98.88033,20.74141
MX13021,-98.60027,19.65930
MX13022,-98.64348,20.03159
MX13023,-99.08028,20.23528
MX13024,-98.54313,20.22591
MX13025,-98.24714,21.03826
MX13026,-98.48913,20.99750
MX13027,-98.06419,20.51407
MX13028,-98.45172,21.12724
MX13029,-99.68073,20.38382
MX13030,-99.20132,20.53252
MX13031,-99.14722,20.96996
MX13032,-98.52757,21.14848
MX13033,-98.83575,20.83158
MX13034,-98.72331,20.96215
MX13035,-98.34292,20.25781
MX13036,-98.60529,20.52379
MX13037,-98.80965,20.56545
MX13038,-98.75356,20.22304
MX13039,-98.65883,20.14036
MX13040,-99.07051,21.07096
MX13041,-99.18073,20.22385
MX13042,-98.77642,20.86439
MX13043,-99.17541,20.78647
MX13044,-99.67268,20.23299
MX13045,-98.62196,20.17375
MX13046,-98.58168,21.26033
MX13047,-99.31541,20.99976
MX13048,-98.78223,20.10208
MX13049,-98.98883,21.23449
MX13050,-99.17815,20.31433
MX13051,-98.71970,20.05899
MX13052,-98.94004,20.09557
MX13053,-98.19132,20.46845
MX13054,-99.04786,20.30475
MX13055,-98.98285,20.41237
MX13056,-98.39278,20.03565
MX13057,-98.49546,19.98760
MX13058,-99.37583,20.54234
MX13059,-99.63243,20.53926
MX13060,-98.21083,20.34336
MX13061,-98.49479,19.81554
MX13062,-98.83294,21.06143
MX13063,-99.36350,19.90267
MX13064,-99.39870,20.19422
MX13065,-99.15183,20.11441
MX13066,-98.80336,19.91282
MX13067,-99.29328,20.17887
MX13068,-98.53914,20.78068
MX13069,-98.96118,19.85253
MX13070,-99.20855,20.13437
MX13071,-98.97239,20.86659
MX13072,-98.58693,19.83520
MX13073,-98.64818,21.03183
MX13074,-99.23705,20.09712
MX13075,-98.92653,19.95439
MX13076,-99.37674,20.06413
MX13077,-98.35094,20.12360
MX13078,-98.28809,20.85786
MX13079,-98.64126,20.79143
MX13080,-98.38352,20.91625
MX13081,-98.58673,20.65075
MX13082,-98.85892,19.98941
MX13083,-98.67233,19.92313
MX13084,-99.36573,20.75288
MX14001,-102.90916,20.77005
MX14002,-103.60885,20.42849
MX14003,-103.93536,20.71147
MX14004,-103.62258,19.99995
MX14005,-103.71725,20.84999
MX14006,-104.08054,20.54166
MX14007,-104.00678,20.80910
MX14008,-102.30066,20.76646
MX14009,-103.67901,20.75497
MX14010,-103.73165,20.17295
MX14011,-104.27392,20.31808
MX14012,-104.55067,20.33673
MX14013,-102.53961,20.54757
MX14014,-103.47047,19.99644
MX14015,-104.31216,19.74347
MX14016,-102.34293,20.48882
MX14017,-104.43482,20.05026
MX14018,-102.52330,20.36383
MX14019,-103.92048,21.87465
MX14020,-105.40648,20.34231
MX14021,-104.47016,19.60295
MX14022,-104.61454,19.27802
MX14023,-103.51034,19.71077
MX14024,-103.82446,20.39035
MX14025,-103.28720,22.09171
MX14026,-103.23643,19.98242
MX14027,-104.31105,19.43563
MX14028,-104.50986,20.19300
MX14029,-103.02872,20.95240
MX14030,-103.18791,20.25986
MX14031,-103.65995,21.72992
MX14032,-103.88018,20.08228
MX14033,-102.16779,20.44789
MX14034,-104.08162,19.91242
MX14035,-102.19148,21.55571
MX14036,-104.12377,20.74361
MX14037,-104.19512,19.80106
MX14038,-104.42156,20.67891
MX14039,-103.33581,20.67597
MX14040,-104.07541,21.05746
MX14041,-103.23399,22.31855
MX14042,-103.91621,22.58370
MX14043,-104.86306,19.51475
MX14044,-103.20754,20.39174
MX14045,-103.22781,20.89856
MX14046,-102.48934,21.19167
MX14047,-102.68567,20.28013
MX14048,-102.11987,20.63547
MX14049,-102.88109,19.32952
MX14050,-103.41718,20.31451
MX14051,-103.13521,20.48172
MX14052,-104.03666,20.05424
MX14053,-101.87966,21.49401
MX14054,-104.10032,19.84079
MX14055,-104.03077,20.90825
MX14056,-102.83866,19.52919
MX14057,-103.10784,20.02151
MX14058,-104.81406,20.57895
MX14059,-103.07253,19.89424
MX14060,-102.75353,21.26385
MX14061,-103.99443,22.22244
MX14062,-104.45292,20.50891
MX14063,-102.72405,20.39744
MX14064,-101.71512,21.81083
MX14065,-103.38186,19.14655
MX14066,-102.89472,20.27022
MX14067,-105.14906,20.69790
MX14068,-104.72284,19.80719
MX14069,-102.86824,19.80454
MX14070,-103.24680,20.53668
MX14071,-103.50015,21.04788
MX14072,-102.02346,20.97012
MX14073,-102.29435,21.26970
MX14074,-102.16348,20.99766
MX14075,-104.23205,20.82469
MX14076,-103.78501,21.59589
MX14077,-103.90514,20.44992
MX14078,-102.37962,20.99263
MX14079,-103.41719,19.85646
MX14080,-104.82612,20.85245
MX14081,-103.18128,22.19331
MX14082,-103.59464,19.86176
MX14083,-103.69249,20.61058
MX14084,-104.95348,20.29944
MX14085,-103.17929,19.68747
MX14086,-103.76547,19.94824
MX14087,-103.19253,19.22530
MX14088,-104.02418,20.25922
MX14089,-103.57526,20.09243
MX14090,-104.16553,20.14689
MX14091,-102.55448,21.48036
MX14092,-103.34715,20.10871
MX14093,-102.72084,20.81484
MX14094,-103.78096,21.11246
MX14095,-103.83239,20.67926
MX14096,-103.07107,20.11962
MX14097,-103.42594,20.48419
MX14098,-103.34891,20.59091
MX14099,-103.93057,19.55289
MX14100,-105.16475,19.97952
MX14101,-103.21390,20.61676
MX14102,-103.95018,19.84790
MX14103,-103.53509,19.43210
MX14104,-103.47857,21.95891
MX14105,-102.74872,20.54873
MX14106,-104.03316,19.68122
MX14107,-103.24204,20.14690
MX14108,-103.45726,19.47903
MX14109,-101.99718,21.15468
MX14110,-104.25572,19.99287
MX14111,-102.65096,21.04652
MX14112,-102.97262,19.83517
MX14113,-103.73891,19.70991
MX14114,-103.70886,20.38965
MX14115,-103.68666,22.02878
MX14116,-102.59359,21.66772
MX14117,-102.70123,21.15982
MX14118,-102.93366,21.13794
MX14119,-103.56806,20.23552
MX14120,-103.49418,20.79490
MX14121,-103.34578,19.62161
MX14122,-103.75834,19.51557
MX14123,-102.92497,20.46086
MX14124,-103.04884,20.63605
MX14125,-102.50640,20.76460
MX15001,-99.87153,19.97294
MX15002,-98.91987,19.63378
MX15003,-99.83335,20.11568
MX15004,-99.86680,18.83296
MX15005,-99.82945,19.40558
MX15006,-99.49187,19.15878
MX15007,-99.98839,19.25093
MX15008,-100.26680,18.70299
MX15009,-98.71649,19.12495
MX15010,-99.14790,19.98451
MX15011,-98.96157,19.54565
MX15012,-99.49998,19.17555
MX15013,-99.27404,19.56481
MX15014,-99.84601,19.80996
MX15015,-98.71706,19.03111
MX15016,-98.72130,19.76306
MX15017,-98.81636,19.12429
MX15018,-99.64328,19.16553
MX15019,-99.45974,19.20870
MX15020,-99.10240,19.62629
MX15021,-99.79826,18.94633
MX15022,-98.85889,19.22603
MX15023,-99.22221,19.78998
MX15024,-99.15942,19.70824
MX15025,-98.83170,19.25360
MX15026,-99.55094,19.82576
MX15027,-99.55045,19.20651
MX15028,-98.88338,19.57304
MX15029,-98.87811,19.40542
MX15030,-98.89670,19.55628
MX15031,-98.94717,19.41624
MX15032,-100.18484,19.31644
MX15033,-99.04321,19.57278
MX15034,-98.73665,18.96802
MX15035,-99.25503,19.82263
MX15036,-99.02801,19.95241
MX15037,-99.33953,19.38310
MX15038,-99.44038,19.55424
MX15039,-98.77905,19.34280
MX15040,-99.69084,18.85070
MX15041,-100.27785,19.25743
MX15042,-99.80696,19.58985
MX15043,-99.35927,19.16525
MX15044,-99.08893,19.73872
MX15045,-99.59657,20.01910
MX15046,-99.39044,19.50605
MX15047,-99.64160,19.58604
MX15048,-99.82348,19.71733
MX15049,-99.51448,19.06757
MX15050,-98.90408,19.09359
MX15051,-99.47486,19.34507
MX15052,-99.48564,18.88192
MX15053,-99.13355,19.70965
MX15054,-99.58837,19.24739
MX15055,-99.58402,19.21125
MX15056,-99.64177,19.74344
MX15057,-99.29261,19.47125
MX15058,-99.02270,19.42258
MX15059,-99.07452,19.72994
MX15060,-99.39173,19.62497
MX15061,-98.71709,19.81231
MX15062,-99.40664,19.25947
MX15063,-99.39642,19.00923
MX15064,-100.07549,19.79882
MX15065,-98.73839,19.65602
MX15066,-100.31895,19.10803
MX15067,-99.52729,19.45064
MX15068,-98.80962,19.02189
MX15069,-98.85786,19.55988
MX15070,-98.94770,19.36102
MX15071,-99.83168,20.22408
MX15072,-99.56708,19.13888
MX15073,-99.55129,19.16888
MX15074,-99.98252,19.65322
MX15075,-98.83219,19.71977
MX15076,-99.53969,19.26553
MX15077,-100.03687,18.98005
MX15078,-100.29981,19.17969
MX15079,-99.51387,20.05181
MX15080,-99.98920,18.73462
MX15081,-98.98651,19.70584
MX15082,-100.21309,18.87380
MX15083,-98.88378,19.18893
MX15084,-98.88107,19.81912
MX15085,-100.03700,19.92126
MX15086,-99.99659,19.08136
MX15087,-99.60247,19.48496
MX15088,-99.56922,18.96702
MX15089,-98.87015,19.15164
MX15090,-99.62926,19.08166
MX15091,-99.16818,19.76221
MX15092,-98.87066,19.68632
MX15093,-98.76547,19.56938
MX15094,-98.84128,19.00994
MX15095,-99.30619,19.72521
MX15096,-99.14959,19.90465
MX15097,-99.93930,18.93956
MX15098,-99.50643,19.12964
MX15099,-98.82779,19.47162
MX15100,-98.93101,19.59687
MX15101,-99.43216,19.16230
MX15102,-99.71804,19.89635
MX15103,-98.73197,19.20890
MX15104,-99.17015,19.54275
MX15105,-100.25708,18.54448
