MX13012,-98.67649,20.35484,4.4
MX13013,-99.23138,19.97345,4.8
MX13014,-98.54849,20.90606,4.2
MX13015,-99.0602,20.59917,4.2
MX13010,-99.22137,20.05475,4.8
MX13011,-98.36355,21.02731,4.2
MX13016,-98.28167,19.98431,5.0
MX13017,-99.47165,20.26369,4.4
MX13018,-98.94967,21.12844,4.0
MX13019,-99.25513,20.32432,4.4
MX13001,-98.44035,20.20642,4.8
MX13002,-98.1984,20.15985,4.8
MX13003,-98.88969,20.31455,4.2
MX13004,-98.36938,20.36157,4.6
MX13009,-98.88258,20.21715,4.4
MX13005,-99.07803,20.11983,4.2
MX13006,-99.4054,20.40709,4.4
MX13007,-98.32707,19.74162,5.6
MX13008,-98.447,19.7229,5.6
MX13040,-99.07051,21.07096,4.0
MX13034,-98.72331,20.96215,4.0
MX13035,-98.34292,20.25781,4.8
MX13036,-98.60529,20.52379,4.2
MX13037,-98.80965,20.56545,4.2
MX13030,-99.20132,20.53252,4.4
MX13031,-99.14722,20.96996,4.0
MX13032,-98.52757,21.14848,4.2
MX13033,-98.83575,20.83158,4.0
MX13038,-98.75356,20.22304,4.2
MX13039,-98.65883,20.14036,4.8
MX13023,-99.08028,20.23528,4.2
MX13024,-98.54313,20.22591,4.8
MX13025,-98.24714,21.03826,4.2
MX13026,-98.48913,20.9975,4.0
MX13020,-98.88033,20.74141,4.2
MX13021,-98.60027,19.6593,5.8
MX13022,-98.64348,20.03159,5.0
MX13027,-98.06419,20.51407,4.4
MX13028,-98.45172,21.12724,4.2
MX13029,-99.68073,20.38382,4.4
MX13060,-98.21083,20.34336,4.4
MX13061,-98.49479,19.81554,5.4
MX13062,-98.83294,21.06143,4.0
MX13056,-98.39278,20.03565,5.0
MX13057,-98.49546,19.9876,5.2
MX13058,-99.37583,20.54234,4.2
MX13059,-99.63243,20.53926,4.4
MX13052,-98.94004,20.09557,4.6
MX13053,-98.19132,20.46845,4.2
MX13054,-99.04786,20.30475,3.8
MX13055,-98.98285,20.41237,4.2
MX13050,-99.17815,20.31433,4.2
MX13051,-98.7197,20.05899,5.0
MX13045,-98.62196,20.17375,4.8
MX13047,-99.31541,20.99976,4.0
MX13048,-98.78223,20.10208,5.0
MX13041,-99.18073,20.22385,4.4
MX13042,-98.77642,20.86439,4.0
MX13043,-99.17541,20.78647,4.0
MX13044,-99.67268,20.23299,4.4
MX13081,-98.58673,20.65075,4.2
MX13082,-98.85892,19.98941,5.0
MX13083,-98.67233,19.92313,5.2
MX13084,-99.36573,20.75288,4.2
MX13080,-98.38352,20.91625,4.2
MX13078,-98.28809,20.85786,4.2
MX13079,-98.64126,20.79143,4.0
MX13074,-99.23705,20.09712,4.6
MX16101,-100.91401,19.43162,4.2
MX13075,-98.92653,19.95439,5.0
MX13076,-99.37674,20.06413,4.6
MX13077,-98.35094,20.1236,4.6
MX13070,-99.20855,20.13437,4.4
MX13071,-98.97239,20.86659,4.0
MX13072,-98.58693,19.8352,5.4
MX13073,-98.64818,21.03183,4.0
MX13067,-99.29328,20.17887,4.4
MX13068,-98.53914,20.78068,4.2
MX13069,-98.96118,19.85253,5.4
MX13063,-99.3635,19.90267,4.8
MX13064,-99.3987,20.19422,4.4
MX13065,-99.15183,20.11441,4.6
MX13066,-98.80336,19.91282,5.2
MX16112,-100.33795,19.43823,4.4
MX16110,-100.76929,19.87071,4.0
MX29007,-97.67432,19.33571,5.8
MX29006,-98.58936,19.56096,6.0
MX29009,-98.09163,19.34999,6.2
MX29008,-97.76592,19.33219,6.0
MX29003,-98.18293,19.54506,6.0
MX29002,-98.19468,19.3515,6.2
MX29005,-98.12725,19.42326,6.2
MX29004,-97.79266,19.41203,5.8
MX17021,-99.41239,18.69275,6.4
MX17022,-98.7082,18.90553,7.0
MX17020,-99.10518,18.9813,7.2
MX17018,-99.27223,18.84252,6.6
MX17019,-98.89425,18.57478,7.4
MX17016,-98.78096,18.88157,7.4
MX17017,-99.28567,18.57779,6.6
MX17014,-99.36541,18.6859,6.4
MX17015,-99.35518,18.80296,6.4
MX17012,-99.22125,18.58678,6.8
MX17013,-98.80941,18.66376,7.6
MX29010,-98.13111,19.28976,6.2
MX29012,-98.43685,19.44446,6.2
MX29011,-98.23348,19.50609,6.2
MX29018,-98.13339,19.31996,6.2
MX30007,-96.56902,19.01088,4.6
MX29017,-98.16432,19.19175,6.4
MX30006,-97.27642,18.71615,5.2
MX30005,-95.80048,18.55172,4.4
MX29019,-98.37922,19.28196,6.6
MX30004,-96.52893,19.5461,4.2
MX29014,-98.34227,19.48821,6.2
MX29013,-97.93643,19.33244,6.2
